precision,recall,threshold
0.015845795033612293,1.0,0.0
0.016471954139757636,0.9826839826839827,0.0018103303156596579
0.01647434501778068,0.9826839826839827,0.0021813288904478437
0.016475540717085208,0.9826839826839827,0.003658919782617206
0.016477932636469222,0.9826839826839827,0.003883495145631068
0.018014097989731095,0.8961038961038961,0.004775405716521299
0.018017233875881278,0.8961038961038961,0.006711409395973154
0.018322511785110736,0.8917748917748918,0.008261443995378337
0.018327402135231315,0.8917748917748918,0.008313970465101772
0.0183290328321025,0.8917748917748918,0.008700380641653072
0.024053452115812918,0.7012987012987013,0.009259259259259259
0.024235875270145108,0.6796536796536796,0.012377138696760102
0.029607250755287008,0.6363636363636364,0.017093692673702695
0.02961321514907333,0.6363636363636364,0.01864406779661017
0.031154837198407122,0.5757575757575758,0.018659051897664078
0.03116943988750879,0.5757575757575758,0.01867926966454793
0.031176746366619785,0.5757575757575758,0.01868579340053355
0.03119136960600375,0.5757575757575758,0.01877165614651106
0.031213330204177422,0.5757575757575758,0.018796992481203006
0.03243791180942727,0.5541125541125541,0.03319502074688797
0.03400054839594187,0.5367965367965368,0.03338786452895602
0.03402854006586169,0.5367965367965368,0.03429696653419002
0.03406593406593406,0.5367965367965368,0.0356330553449583
0.04363472784525416,0.4199134199134199,0.03790849673202615
0.057492931196983975,0.26406926406926406,0.04127478313414869
0.057547169811320756,0.26406926406926406,0.044689774147188326
0.05760151085930123,0.26406926406926406,0.04710377307064984
0.057655954631379965,0.26406926406926406,0.047733054855760126
0.05771050141911069,0.26406926406926406,0.04888477592664458
0.05776515151515151,0.26406926406926406,0.05006364051330371
0.05781990521327014,0.26406926406926406,0.05319148936170213
0.06420927467300833,0.23376623376623376,0.056658754129172435
0.06428571428571428,0.23376623376623376,0.056963772490348785
0.06436233611442194,0.23376623376623376,0.05784562996691568
0.06443914081145585,0.23376623376623376,0.06382978723404255
0.07564296520423601,0.21645021645021645,0.07142857142857142
0.07550077041602465,0.21212121212121213,0.07272669300025529
0.07561728395061729,0.21212121212121213,0.07296137339055794
0.08108108108108109,0.1038961038961039,0.09090909090909091
0.08712121212121213,0.09956709956709957,0.1099476439790576
0.12244897959183673,0.05194805194805195,0.11012959356226924
0.1134020618556701,0.047619047619047616,0.11096863307940907
0.11458333333333333,0.047619047619047616,0.1111111111111111
0.08695652173913043,0.025974025974025976,0.125
0.045454545454545456,0.004329004329004329,0.13636363636363635
0.05,0.004329004329004329,0.2857142857142857
0.0,0.0,0.8909183336377926
0.0,0.0,1.0
1.0,0.0,1.0
