precision,recall,threshold
0.06633283029222116,1.0,0.0
0.0830896266987786,0.9989658738366081,0.002242152466367713
0.09016777579904396,0.9948293691830403,0.003948681028424725
0.09017622797150356,0.9948293691830403,0.005226480836236934
0.09043053205489754,0.9948293691830403,0.005300378030781269
0.09043903356209458,0.9948293691830403,0.006523021044529913
0.09046454767726161,0.9948293691830403,0.007042253521126761
0.0967741935483871,0.9896587383660806,0.008734352940294388
0.09678398058252427,0.9896587383660806,0.01092896174863388
0.09806743421052631,0.9865563598759048,0.012116722521727654
0.09807751619204277,0.9865563598759048,0.02386117136659436
0.105867777902917,0.9720785935884177,0.024326652521343185
0.10589163005519883,0.9720785935884177,0.02583125384098961
0.10592742844264143,0.9720785935884177,0.027863703846234045
0.10593936661782936,0.9720785935884177,0.02857142857142857
0.10663641520136131,0.9720785935884177,0.030744086837748957
0.10664851372815974,0.9720785935884177,0.03182975468070827
0.10666061500056734,0.9720785935884177,0.03251416974237829
0.10668482578594939,0.9720785935884177,0.0325379529100277
0.10669693530079455,0.9720785935884177,0.03322540908783625
0.10670904756499035,0.9720785935884177,0.033267249059151585
0.1067211625794732,0.9720785935884177,0.03432686079207422
0.10673328034517997,0.9720785935884177,0.03435739982595221
0.10674540086304792,0.9720785935884177,0.035150571944252924
0.10675752413401476,0.9720785935884177,0.03563364775693405
0.10676965015901863,0.9720785935884177,0.03587443946188341
0.11745180645984936,0.9513960703205792,0.04564265870573264
0.11746680286006128,0.9513960703205792,0.047058823529411764
0.12456795244020462,0.9317476732161324,0.04891304347826087
0.13574660633484162,0.8996897621509824,0.0670391061452514
0.14143756210665784,0.8831437435367114,0.06989247311827956
0.14861282912175297,0.8697001034126164,0.0699116217529387
0.14863909508660303,0.8697001034126164,0.06999992523642787
0.14879688605803257,0.8697001034126164,0.07017543859649122
0.15237918903906683,0.8510858324715616,0.08629441624365482
0.15706806282722513,0.8376421923474664,0.10526315789473684
0.15786396413954396,0.8376421923474664,0.11000798398146133
0.15792552154416065,0.8376421923474664,0.1111111111111111
0.15946909667194928,0.8324715615305067,0.11273666092943202
0.20239836209417958,0.7156153050672182,0.1132253514138568
0.20245757753071972,0.7156153050672182,0.14685593705583835
0.20251682762657303,0.7156153050672182,0.14775581960864856
0.202576112412178,0.7156153050672182,0.14899156199229985
0.20263543191800878,0.7156153050672182,0.16777773111490743
0.2026947861745753,0.7156153050672182,0.17287676469018187
0.2027541752124231,0.7156153050672182,0.20967741935483872
0.20579360289680146,0.7052740434332989,0.21137888797114396
0.20585571989133716,0.7052740434332989,0.21212121212121213
0.22280152937087244,0.6628748707342296,0.21834812858103134
0.22287899860917942,0.6628748707342296,0.2391304347826087
0.23102803738317756,0.6390899689762151,0.24511619343103952
0.23111443530291698,0.6390899689762151,0.2521065084231411
0.23082678638234194,0.6380558428128231,0.25316455696202533
0.23643564356435642,0.6173733195449845,0.29878048780487804
0.25261720527992715,0.5739400206825233,0.29879072604837476
0.2522768670309654,0.5729058945191313,0.29879101899827293
0.37516170763260026,0.2998965873836608,0.300588443715679
0.3756476683937824,0.2998965873836608,0.30449398386612336
0.3761348897535668,0.2998965873836608,0.30516733465943147
0.37532467532467534,0.2988624612202689,0.30644810027297803
0.37451235370611186,0.29782833505687695,0.3235844304466146
0.3736979166666667,0.296794208893485,0.3301782853212248
0.3728813559322034,0.2957600827300931,0.3333333333333333
0.3720626631853786,0.29472595656670114,0.3704688646891257
0.37254901960784315,0.29472595656670114,0.4064516129032258
0.40974729241877256,0.23474663908996898,0.4444444444444444
0.4141791044776119,0.2295760082730093,0.44638501134950653
0.41495327102803736,0.2295760082730093,0.4463994076170187
0.4157303370786517,0.2295760082730093,0.45199751840628277
0.4165103189493433,0.2295760082730093,0.4523465577651875
0.41729323308270677,0.2295760082730093,0.45678479192037585
0.416195856873823,0.22854188210961737,0.46198944295507216
0.4169811320754717,0.22854188210961737,0.46296296296296297
0.4482758620689655,0.21509824198552224,0.47854353834008995
0.44924406047516197,0.21509824198552224,0.47916666666666685
0.5323076923076923,0.17890382626680454,0.4794978493962588
0.5339506172839507,0.17890382626680454,0.4807099733638293
0.5356037151702786,0.17890382626680454,0.4811501938420583
0.5372670807453416,0.17890382626680454,0.4811715481171548
0.6684491978609626,0.12926577042399173,0.5079333135773999
0.6666666666666666,0.1282316442605998,0.5260869565217391
0.7477477477477478,0.08583247156153051,0.5294117647058824
0.7920792079207921,0.0827300930713547,0.5384615384615384
0.7956989247311828,0.07652533609100311,0.6633663366336634
0.8571428571428571,0.04343329886246122,0.75
0.8387096774193549,0.02688728024819028,0.7610296375855345
0.8666666666666667,0.02688728024819028,0.8666666666666667
0.96,0.02481902792140641,0.927710843373494
1.0,0.0031023784901758012,0.9490867387216779
1.0,0.002068252326783868,1.0
1.0,0.0,1.0
