precision,recall,threshold
0.015845795033612293,1.0,0.0
0.01710135873809152,0.948051948051948,0.00641025641025641
0.017169410096873276,0.9437229437229437,0.006787330316742082
0.017201925353112917,0.9437229437229437,0.00872715686266894
0.017203282828282828,0.9437229437229437,0.009513742071881607
0.018365142239827152,0.8831168831168831,0.009584162981935453
0.018366795714414335,0.8831168831168831,0.009639987857156756
0.018368449486763912,0.8831168831168831,0.009712230215827337
0.023556123172981412,0.7186147186147186,0.013770400698787382
0.023562810503903478,0.7186147186147186,0.015153858824947249
0.023566155593412835,0.7186147186147186,0.017891373801916934
0.027394560504532914,0.6017316017316018,0.02744097000638162
0.03620386643233743,0.4458874458874459,0.029031421275788
0.03621659634317862,0.4458874458874459,0.02905982905982906
0.03951650395165039,0.36796536796536794,0.03
0.04397590361445783,0.31601731601731603,0.040194342823137094
0.044002411091018684,0.31601731601731603,0.046237635945306346
0.04402895054282268,0.31601731601731603,0.047058823529411764
0.04577240940877304,0.3116883116883117,0.047465955559361464
0.04580152671755725,0.3116883116883117,0.04883993342878965
0.04583068109484405,0.3116883116883117,0.049373432944411474
0.045859872611464965,0.3116883116883117,0.04981549815498155
0.05021834061135371,0.19913419913419914,0.051326762439233384
0.05027322404371585,0.19913419913419914,0.06567832603644225
0.05032822757111598,0.19913419913419914,0.07923497267759563
0.06739130434782609,0.1341991341991342,0.08438544339509105
0.06535947712418301,0.12987012987012986,0.08563633423702398
0.06550218340611354,0.12987012987012986,0.08704334669426853
0.06345733041575492,0.12554112554112554,0.09523809523809523
0.06926406926406926,0.06926406926406926,0.1196328595939927
0.06956521739130435,0.06926406926406926,0.125
0.07936507936507936,0.06493506493506493,0.13157894736842105
0.09090909090909091,0.05627705627705628,0.15727635722295222
0.09154929577464789,0.05627705627705628,0.16981132075471697
0.13333333333333333,0.04329004329004329,0.18368416865689705
0.13513513513513514,0.04329004329004329,0.22
0.12903225806451613,0.017316017316017316,0.23076923076923078
0.1111111111111111,0.008658008658008658,0.23458412715142088
0.11764705882352941,0.008658008658008658,0.30434782608695654
1.0,0.0,1.0
