precision,recall,threshold
0.015845795033612293,1.0,0.0
0.01682085786375105,0.9523809523809523,0.0012406297028064728
0.016822144058724574,0.9523809523809523,0.0012790391920134425
0.016823430450409117,0.9523809523809523,0.004647559951990843
0.018746018746018746,0.8917748917748918,0.004780913703143597
0.018752844788347746,0.8917748917748918,0.004805059637874365
0.01875455207574654,0.8917748917748918,0.00489659933373332
0.018756259674041702,0.8917748917748918,0.00497774314135313
0.018757967583318158,0.8917748917748918,0.004978101700544357
0.01875967580366087,0.8917748917748918,0.004988804459571838
0.018761384335154827,0.8917748917748918,0.00500516640022397
0.018763093177885052,0.8917748917748918,0.005053484346717596
0.0187648023319366,0.8917748917748918,0.005171295255422592
0.018769931662870158,0.8917748917748918,0.005312970373779535
0.018771642063058137,0.8917748917748918,0.005376344081014395
0.01892714475936846,0.8614718614718615,0.008065612055361271
0.018928945115571198,0.8614718614718615,0.008791209198534489
0.019167153142634754,0.8528138528138528,0.008873192593455315
0.019169018195971586,0.8528138528138528,0.009365581907331944
0.019170883612300505,0.8528138528138528,0.009435328654944897
0.019172749391727494,0.8528138528138528,0.011406844481825829
0.019997894958425428,0.8225108225108225,0.011536861769855022
0.020010531858873092,0.8225108225108225,0.011718153022229671
0.020012639561828523,0.8225108225108225,0.012125345878303051
0.020014747708838092,0.8225108225108225,0.012133769690990448
0.02001685630004214,0.8225108225108225,0.012180209159851074
0.020018965335581076,0.8225108225108225,0.012192734517157078
0.020023184740225523,0.8225108225108225,0.012345679104328156
0.020368574199806012,0.8181818181818182,0.012500000186264515
0.02109139604954804,0.8181818181818182,0.012545272707939148
0.02109375,0.8181818181818182,0.012546960264444351
0.021096104475945975,0.8181818181818182,0.012557555921375751
0.026669053159119386,0.645021645021645,0.013361964374780655
0.026673827425707126,0.645021645021645,0.013574660755693913
0.027741330834114338,0.6406926406926406,0.013607760891318321
0.027746531683539556,0.6406926406926406,0.013609523884952068
0.027762145938848248,0.6406926406926406,0.013648316264152527
0.02776735459662289,0.6406926406926406,0.013670376501977444
0.027772565209232502,0.6406926406926406,0.01369243673980236
0.027777777777777776,0.6406926406926406,0.013872981071472168
0.02779342723004695,0.6406926406926406,0.013888888992369175
0.028051554207733132,0.6406926406926406,0.014120394363999367
0.028056872037914692,0.6406926406926406,0.014262132346630096
0.028072837632776935,0.6406926406926406,0.016620498150587082
0.02924097884695147,0.6103896103896104,0.01748807542026043
0.03204968944099379,0.5584415584415584,0.0253521129488945
0.03338008415147265,0.5151515151515151,0.026159990578889847
0.03338945005611672,0.5151515151515151,0.026936516165733337
0.03339882121807466,0.5151515151515151,0.02833663299679756
0.03340819764177429,0.5151515151515151,0.029411764815449715
0.033727298933410206,0.5064935064935064,0.03023497760295868
0.03373702422145329,0.5064935064935064,0.036823127418756485
0.03374675511970003,0.5064935064935064,0.037000756710767746
0.03375649163300635,0.5064935064935064,0.03760162740945816
0.04345703125,0.3852813852813853,0.03782543167471886
0.043478260869565216,0.3852813852813853,0.040145985782146454
0.04605993340732519,0.3593073593073593,0.04460431635379791
0.06598407281001138,0.2510822510822511,0.04578299820423126
0.06605922551252848,0.2510822510822511,0.046672604978084564
0.0661345496009122,0.2510822510822511,0.047037314623594284
0.06621004566210045,0.2510822510822511,0.0476190485060215
0.06798516687268233,0.23809523809523808,0.0556817501783371
0.06806930693069307,0.23809523809523808,0.0615384615957737
0.0718475073313783,0.21212121212121213,0.06312121450901031
0.07195301027900147,0.21212121212121213,0.07851240038871765
0.09009009009009009,0.12987012987012986,0.08365560322999954
0.08761329305135952,0.12554112554112554,0.09090909361839294
0.08292682926829269,0.0735930735930736,0.09246868640184402
0.08333333333333333,0.0735930735930736,0.10000000149011612
0.15714285714285714,0.047619047619047616,0.20879121124744415
0.14285714285714285,0.008658008658008658,0.21052631735801697
0.125,0.004329004329004329,0.3333333432674408
0.0,0.0,0.39610323309898376
1.0,0.0,1.0
